loss,accuracy,tn,fp,fn,tp,precision_0,precision_1,recall_0,recall_1,f1_0,f1_1,count_0,count_1,auroc
0.19214245899092583,0.927952380952381,19569,1395,1631,19405,0.923066037735849,0.9329326923076923,0.933457355466514,0.9224662483361856,0.9282326155013755,0.9276699493259394,20964,21036,0.9279618019013498
0.10982223486332666,0.9646904761904762,20302,662,821,20215,0.9611324149031861,0.9682904631891556,0.968422056859378,0.9609716676174178,0.964763466153444,0.9646171832128457,20964,21036,0.9646968622383979
0.10315253096818924,0.9668571428571429,20339,625,767,20269,0.9636596228560599,0.9700871063463196,0.9701869872161801,0.9635386955694999,0.9669122890420728,0.9668018125447173,20964,21036,0.9668628413928401
0.10461600257953008,0.9666666666666667,20306,658,742,20294,0.9647472443937666,0.9685948835433371,0.9686128601411944,0.9647271344362046,0.9666761877558792,0.9666571401352767,20964,21036,0.9666699972886995
0.09981930581586701,0.9683571428571428,20357,607,722,20314,0.9657479007543053,0.9709860905310453,0.9710456019843541,0.9656778855295683,0.9683895059819708,0.9683247133970494,20964,21036,0.968361743756961
0.09509151335841133,0.97,20380,584,676,20360,0.9678951367781155,0.9721161191749427,0.9721427208547987,0.967864613044305,0.9700142789148024,0.9699857074797522,20964,21036,0.9700036669495519
0.10257550684611003,0.9683095238095238,20358,606,725,20311,0.9656121045392022,0.9710283501458145,0.9710933028048082,0.9655352728655638,0.9683449473208552,0.9682740209281816,20964,21036,0.968314287835186
0.0956933861712792,0.9711428571428572,20397,567,645,20391,0.9693470202452238,0.9729458917835672,0.9729536348025186,0.9693382772390188,0.9711469790029996,0.9711387341048721,20964,21036,0.9711459560207687
0.09701499186385246,0.9699523809523809,20377,587,675,20361,0.9679365380961429,0.9719782318121062,0.9719996183934364,0.9679121505989732,0.9699638233054074,0.9699409298780488,20964,21036,0.9699558844962047
0.09542829549880255,0.9713333333333334,20394,570,634,20402,0.9698497241772874,0.9728209040625596,0.9728105323411562,0.9698611903403689,0.9713278719756143,0.9713387926109313,20964,21036,0.9713358613407626
0.08350398388079235,0.975047619047619,20482,482,566,20470,0.9731090839984796,0.9769950362733868,0.9770082045411181,0.9730937440578057,0.9750547462629726,0.9750404877584071,20964,21036,0.9750509742994619
0.08937443124112629,0.9722619047619048,20419,545,620,20416,0.9705309187699035,0.9739993320929345,0.9740030528525091,0.9705267161057235,0.972263885912911,0.9722599233278567,20964,21036,0.9722648844791164
0.11114962103750024,0.9658809523809524,20290,674,759,20277,0.9639412798707777,0.9678296978664502,0.9678496470139286,0.9639189960068454,0.9658915097707853,0.965870388453569,20964,21036,0.965884321510387
0.08990407547407916,0.9742380952380952,20467,497,585,20451,0.9722116663499905,0.9762745846858889,0.9762926922343065,0.9721905305191101,0.9742479055597868,0.9742282774390244,20964,21036,0.9742416113767083
0.0829234039300964,0.9751666666666666,20482,482,561,20475,0.9733403031887088,0.9770005248842869,0.9770082045411181,0.9733314318311466,0.9751708048658556,0.9751625270878481,20964,21036,0.9751698181861324
0.09747881300348256,0.9716190476190476,20397,567,625,20411,0.9702692417467416,0.9729716846219849,0.9729536348025186,0.9702890283323826,0.9716095841470966,0.9716285047841196,20964,21036,0.9716213315674507
0.09112069389224052,0.9729047619047619,20441,523,615,20421,0.9707921732522796,0.9750286478227654,0.9750524709024995,0.9707644038790645,0.9729176582579724,0.9728918532634587,20964,21036,0.9729084373907818
0.0912849533586275,0.9724285714285714,20420,544,614,20422,0.9708091661120092,0.9740532290374893,0.9740507536729631,0.9708119414337326,0.9724272584408781,0.9724298842912242,20964,21036,0.9724313475533479
0.09454786572002229,0.9722142857142857,20421,543,624,20412,0.9703492516037063,0.9740873299928418,0.9740984544934173,0.9703365658870508,0.9722202385203169,0.972208330356505,20964,21036,0.972217510190234
0.0849932827367669,0.9751666666666666,20487,477,566,20470,0.9731154704792666,0.9772282427077863,0.9772467086433887,0.9730937440578057,0.9751767141871147,0.975156611009218,20964,21036,0.9751702263505971
0.08020756431713345,0.9769761904761904,20528,436,531,20505,0.9747851274989315,0.9791795998280884,0.9792024422820073,0.9747575584711923,0.976988791852081,0.9769635752912309,20964,21036,0.9769800003765997
0.0762967479072866,0.9776904761904762,20543,421,516,20520,0.9754974120328601,0.9798958979991405,0.9799179545888189,0.975470621791215,0.9777026866239916,0.9776782523763013,20964,21036,0.9776942881900169
0.0821204347255684,0.9752619047619048,20479,485,554,20482,0.9736604383587696,0.9768684122668956,0.9768651020797557,0.9736641947138239,0.9752601376288782,0.9752636716425017,20964,21036,0.97526464839679
0.07735311303819929,0.9765238095238096,20507,457,529,20507,0.9748526335805286,0.9782007250524709,0.9782007250524709,0.9748526335805286,0.9765238095238097,0.9765238095238097,20964,21036,0.9765266793164998
0.09222760671802929,0.9731190476190477,20442,522,607,20429,0.9711625255356549,0.9750847214930075,0.9751001717229536,0.97114470431641,0.9731273653392996,0.9731107247481364,20964,21036,0.9731224380196817
0.07712404494839055,0.9775714285714285,20538,426,516,20520,0.9754915930464519,0.9796619879690633,0.9796794504865484,0.975470621791215,0.9775810366985578,0.9775618122052309,20964,21036,0.9775750361388817
0.0849203236982936,0.9750238095238095,20473,491,558,20478,0.9734677381008987,0.9765844818541657,0.9765788971570311,0.9734740444951512,0.9750208358137874,0.9750267825258898,20964,21036,0.9750264708260911
0.07271747867457036,0.9787619047619047,20546,418,474,20562,0.9774500475737393,0.9800762631077217,0.9800610570501813,0.977467199087279,0.9787538109756099,0.9787699923838538,20964,21036,0.9787641280687301
0.07090372571335839,0.9783095238095239,20547,417,494,20542,0.9765220284207025,0.9801040125960208,0.9801087578706353,0.9765164479939152,0.9783121057017021,0.978306941302536,20964,21036,0.9783126029322752
0.0813506147214655,0.9756190476190476,20484,480,544,20492,0.9741297317861899,0.977112340263208,0.9771036061820263,0.9741395702605058,0.9756144027433797,0.975623690725576,20964,21036,0.975621588221266
